2	19
3	23159
4	64526
5	81725
6	80698
7	77071
8	71763
9	66048
10	62179
11	58195
12	54959
13	51593
14	49300
15	46765
16	44700
17	42490
18	41828
19	39654
20	38867
21	37744
22	36815
23	36102
24	35995
25	35598
26	35348
27	35016
28	34766
29	33701
30	33645
31	32320
32	31418
33	30095
34	29630
35	28957
36	28577
37	27777
38	27618
39	27163
40	26759
41	25962
42	25473
43	23903
44	23211
45	21206
46	19972
47	18140
48	16593
49	14757
50	13718
51	12517
52	11510
53	10588
54	9817
55	8878
56	8489
57	7423
58	6983
59	7189
